pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick
mypool,35836064,0x2c1828bc61de1c9f182c8d1a3b9080b20f80e203af7326dfba6d28b8b40252c9,1667770881,3,0x2c1828bc61de1c9f182c8d1a3b9080b20f80e203af7326dfba6d28b8b40252c9,sender,recipient,-0.07401381630255395,3.0,501883510299476839205062185953,0,40127923447620.91,36922
mypool,35842380,0x7bb351ce52d97585e24eb78a16f5d5a04fdd305ae6097a488daa8e4409a4ebf4,1667773061,8,0x7bb351ce52d97585e24eb78a16f5d5a04fdd305ae6097a488daa8e4409a4ebf4,sender,recipient,-3.7738685139498513,153.02170240938605,502062402225238804839004693401,0,40156535030676.81,36929
mypool,35842631,0x4e81beadb8163f7d18e478aec4f8e28ec5cc920e22fcadadb5c40c4eaed45e85,1667773136,3,0x4e81beadb8163f7d18e478aec4f8e28ec5cc920e22fcadadb5c40c4eaed45e85,sender,recipient,-1.2325325764681785,50.0,502120855347555849700966657088,0,40165886105306.164,36932
mypool,35842770,0xe0a8b8576aacbe84e2be873f24496815193f4413c073d1a3abdb02ef910382fb,1667773179,3,0xe0a8b8576aacbe84e2be873f24496815193f4413c073d1a3abdb02ef910382fb,sender,recipient,-1.8097480876931158,73.43693342516329,502206707708597644696134020930,0,40179622363882.58,36935
mypool,35842808,0x9b78c16e3df6a96627323b2e9f67856327fdfdd1beff678595eb34eb9b5f4a1e,1667773189,3,0x9b78c16e3df6a96627323b2e9f67856327fdfdd1beff678595eb34eb9b5f4a1e,sender,recipient,-2.4633621177671614,100.0,502323613953231734420057948305,0,40198330976945.914,36940
mypool,35844118,0x0ae04a6d2cd238637cc7968dcc9be2d282ad646a99d6b0ea108643dd7cb5a052,1667773580,3,0x0ae04a6d2cd238637cc7968dcc9be2d282ad646a99d6b0ea108643dd7cb5a052,sender,recipient,-0.492534837820648,20.0,502346995202158552364842733780,0,40202073222108.16,36941
mypool,35844679,0xcce9afcdf34afa8ae9b92f90e68cc86059453cda1d54975fb4269697a43d4a3b,1667773770,8,0xcce9afcdf34afa8ae9b92f90e68cc86059453cda1d54975fb4269697a43d4a3b,sender,recipient,-0.08237727049637551,3.3452149920861256,502350905967380736816222555500,0,40202699169842.69,36941
mypool,35844770,0x29ccff14ba95031b164a1dd1a90318879c9d657a5fc2ea2341bc8b3b47eac80f,1667773797,3,0x29ccff14ba95031b164a1dd1a90318879c9d657a5fc2ea2341bc8b3b47eac80f,sender,recipient,-0.49248132307763187,20.0,502374287216307554761007340975,0,40206441618322.125,36942
mypool,35845280,0x3c6a194c36d23eb87f553f7fe171fbc703523a39e7bee5ca2cab390a8c7a6f97,1667773959,3,0x3c6a194c36d23eb87f553f7fe171fbc703523a39e7bee5ca2cab390a8c7a6f97,sender,recipient,-4.922293113958708,200.0,502608099705575734208855195725,0,40243875683191.94,36951
mypool,35845372,0x7c4dc99ec3d52a79254adea495271f7b4abdb5e7194462ae8016f86ad28fee3d,1667773989,3,0x7c4dc99ec3d52a79254adea495271f7b4abdb5e7194462ae8016f86ad28fee3d,sender,recipient,-2.3017234691713964,93.5863,502717507934397727320155814170,0,40261398243564.22,36955
mypool,35845405,0x78f74c2248eb140b038abbf6cad940e2605266a0a7bd97444d3f4bb7b83f9fe7,1667774001,3,0x78f74c2248eb140b038abbf6cad940e2605266a0a7bd97444d3f4bb7b83f9fe7,sender,recipient,-9.384779563107685,382.0,503164089788899950065545216743,0,40332961281452.96,36973
mypool,35846875,0x0eb99e0f52397b2247a10ea420b3415c974e2adf04cc8f8281c5ed8a220c7a28,1667774497,3,0x0eb99e0f52397b2247a10ea420b3415c974e2adf04cc8f8281c5ed8a220c7a28,sender,recipient,-0.12272697909372628,5.0,503169935101131654551741413111,0,40333898391736.15,36973
mypool,35849615,0xc35a542716fea6d57fc5db0fc962768d37debcd945eec08991fd2f06bcb19898,1667775401,3,0xc35a542716fea6d57fc5db0fc962768d37debcd945eec08991fd2f06bcb19898,sender,recipient,-0.09817953026277798,4.0,503174611350917018140698370206,0,40334648087800.945,36973
mypool,35850128,0xd94c3d5507ef8760dc3327f617ac9c619cbd332690b55ed01fd6f80496c6405d,1667775583,3,0xd94c3d5507ef8760dc3327f617ac9c619cbd332690b55ed01fd6f80496c6405d,sender,recipient,-0.1472658738264081,6.0,503181625725595063524133805848,0,40335772644961.88,36974
mypool,35850350,0x0d2e78e4256dfe598798b53d3eaec41cce574c94cdc3d65ba22362f7bdfbf298,1667775655,3,0x0d2e78e4256dfe598798b53d3eaec41cce574c94cdc3d65ba22362f7bdfbf298,sender,recipient,-0.03179594373235973,1.2954725429920981,503183140213895341329565000161,0,40336015452507.16,36974
mypool,35850530,0x37088d612655970b4c54cd8e2dfe7385a964f0ad7da79cd849353d8381dea261,1667775710,6,0x37088d612655970b4c54cd8e2dfe7385a964f0ad7da79cd849353d8381dea261,sender,recipient,-1.1497962981317968,46.851767295469266,503237912855585177072517291165,0,40344797266480.016,36976
mypool,35851237,0xea7b97a41cc0d0f97209d215444b4bf9b57030a981af81d424f33b0e240e6f74,1667775934,3,0xea7b97a41cc0d0f97209d215444b4bf9b57030a981af81d424f33b0e240e6f74,sender,recipient,-0.19630419159155893,8.0,503247265355155904250431205355,0,40346296868142.375,36976
mypool,35851839,0x96245428ccd23503576953dbfe118c1f5737dffd4476f8e6b79075c740cf765f,1667776105,3,0x96245428ccd23503576953dbfe118c1f5737dffd4476f8e6b79075c740cf765f,sender,recipient,-1.7455594447001488,71.15,503330444148213059089003079682,0,40359635176572.64,36980
